UAI,Asset Name,System,Catalogue Codes,Baseline Closure Priority,Dedicated Closure Wave Applied,Product Passport,Canonical Identity Closure /5,Human Evidence Maturity /5,Regulatory Status Closure /5,Safety Source Closure /5,Supplier Evidence Availability /5,Analytical Verification Feasibility /5,Commercial Boundary Readiness /5,Weighted Readiness Score /100,Readiness Tier,Tier Name,Weakest Dimensions,Critical Quarantine,Direct Sale Gate,Platinum Certified,Recommended Next Action,Current Regulatory Headline,Current Closure Class
CERT-PKS-000067,Testagen Supplier Product Family,PKS,TG20,P0,YES,CERT-PPS-000017,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.","IDENTITY UNRESOLVED / NO ENDOCRINE, FERTILITY OR ANTI-AGEING CLAIM PERMITTED",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000068,Bronchogen,PKS,BR20,P1,YES,CERT-PPS-000041,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000069,Cardiogen,PKS,CA20,P1,YES,CERT-PPS-000042,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000070,Cortagen,PKS,COR20,P1,YES,CERT-PPS-000043,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000071,Livagen,PKS,LI20,P1,YES,CERT-PPS-000044,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000073,Prostamax,PKS,MAX20,P1,YES,CERT-PPS-000046,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000074,Cartalax,PKS,LAX20,P1,YES,CERT-PPS-000047,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000075,Chonluten,PKS,CH20,P1,YES,CERT-PPS-000048,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000002,BPC-157,PKS,BC10; BC2; BC20; BC5,P2,NO,,4,2,3,2,2,4,3,57,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000004,CJC-1295 with DAC,PKS,CD10; CD2; CD5,P2,NO,,4,2,3,2,2,4,3,57,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000005,Ipamorelin,PKS,IP10; IP2; IP5,P2,NO,,4,2,3,2,2,4,3,57,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000006,MOTS-c,PKS,MS10; MS40,P2,NO,,4,2,3,2,2,4,3,57,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,PKS,FM2,P2,NO,,4,2,3,2,2,4,3,57,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL / IDENTITY-SENSITIVE / ATHLETE PROHIBITION CONTROL REQUIRED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000040,Delta Sleep-Inducing Peptide,PKS,DS10; DS15; DS2; DS5,P2,NO,,4,2,3,2,2,4,3,57,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL / PHYSIOLOGICAL IDENTITY AND CLINICAL UTILITY UNRESOLVED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000062,PTD-DBM,PKS,PTD5,P2,NO,,4,2,3,2,2,4,3,57,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL PRECLINICAL WNT-PATHWAY PEPTIDE — NO HAIR-LOSS OR WOUND-TREATMENT APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000028,PEG-MGF Supplier Product Family,PKS,FMP2,P1,YES,CERT-PPS-000033,2,2,4,2,2,4,4,54,T3,Substantial Closure Required,Identity; Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED / CHEMICALLY UNDER-SPECIFIED / ATHLETE PROHIBITION CONTROL REQUIRED,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,PKS,BB10; BB20; BB4,P1,YES,CERT-PPS-000024,2,4,4,2,1,1,4,54,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED SUPPLIER COMBINATION / COMPONENT AND CO-FORMULATION EVIDENCE INSUFFICIENT,COMBINATION ANALYTICS OPEN
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,PKS,BBG70,P1,YES,CERT-PPS-000025,2,4,4,2,1,1,4,54,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED THREE-COMPONENT SUPPLIER BLEND / NO MEDICINAL EQUIVALENCE,COMBINATION ANALYTICS OPEN
CERT-MPS-000003,Glutathione Supplier Vial Family,MPS,GTT,P1,YES,CERT-PPS-000003,2,2,3,3,2,3,3,50,T3,Substantial Closure Required,Identity; Human Evidence; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",REDOX FORM AND ROUTE UNRESOLVED / STERILE-INJECTION AND ENDOTOXIN CONTROLS CRITICAL,PRODUCT PASSPORT OPEN
CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,PKS,PP10,P1,YES,CERT-PPS-000021,2,2,3,2,2,4,3,49,T3,Substantial Closure Required,Identity; Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL PRECLINICAL PRODUCT / EXACT CHEMISTRY AND STEREOCHEMISTRY REQUIRED,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000064,FOXO4-DRI Supplier Product Family,PKS,F410,P1,YES,CERT-PPS-000039,2,2,3,2,2,4,3,49,T3,Substantial Closure Required,Identity; Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL PRECLINICAL SENOLYTIC / NO HUMAN ANTI-AGEING OR APPROVAL CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000063,Humanin Supplier Product Family,PKS,HU10,P1,YES,CERT-PPS-000038,2,2,4,2,1,2,4,48,T3,Substantial Closure Required,Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",PRECLINICAL-DOMINANT / PRODUCT IDENTITY UNDER-SPECIFIED / NO APPROVAL CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-MPS-000001,AICAR Supplier Product Family,MPS,AR100; AR50,P1,YES,CERT-PPS-000001,2,2,3,2,2,3,3,47,T3,Substantial Closure Required,Identity; Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",CHEMICAL FORM AMBIGUOUS / NO CURRENT GENERAL THERAPEUTIC APPROVAL CLAIM / CURRENT ANTI-DOPING CONTROL REQUIRED,PRODUCT PASSPORT OPEN
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,MPS,10AM; 50AM; 5AM,P1,YES,CERT-PPS-000004,2,2,3,2,2,3,3,47,T3,Substantial Closure Required,Identity; Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",PRECLINICAL RESEARCH COMPOUND / NO HUMAN APPROVAL OR VALIDATED WEIGHT-LOSS CLAIM,PRODUCT PASSPORT OPEN
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,PKS,KL80,P1,YES,CERT-PPS-000026,2,2,4,2,1,1,4,46,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED FOUR-COMPONENT SUPPLIER BLEND / NO CLINICAL OR PRODUCT EQUIVALENCE,COMBINATION ANALYTICS OPEN
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,PKS,RC10,P1,YES,CERT-PPS-000027,2,2,4,2,1,1,4,46,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED SUPPLIER METABOLIC COMBINATION / PRODUCT-SPECIFIC HUMAN EVIDENCE NOT CLOSED,COMBINATION ANALYTICS OPEN
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,PKS,TI18,P1,YES,CERT-PPS-000028,2,2,4,2,1,1,4,46,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED SUPPLIER GH-AXIS COMBINATION / TESAMORELIN MEDICINE STATUS DOES NOT TRANSFER,COMBINATION ANALYTICS OPEN
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,PKS,CP10; CP20,P1,YES,CERT-PPS-000030,2,2,4,2,1,1,4,46,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED SUPPLIER GH-AXIS COMBINATION / CJC-1295 WITH DAC EVIDENCE DOES NOT TRANSFER,COMBINATION ANALYTICS OPEN
CERT-PKS-000052,Thymalin Product Family,PKS,TY10,P1,YES,CERT-PPS-000037,2,3,3,2,1,1,3,45,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",MIXTURE IDENTITY AND REGIONAL-STATUS UNCERTAINTY — NO UNIVERSAL APPROVAL CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,MPS,HA5,P0,YES,CERT-PPS-000010,2,2,3,2,1,2,3,43,T4,High Analytical or Evidence Burden,Supplier Evidence,NO,BLOCKED,NO,"Develop a bespoke analytical and evidence plan. Keep commercial progression blocked until the high-burden quality, formulation and safety gaps are reduced.","MOLECULAR WEIGHT, CROSSLINKING, ROUTE AND DEVICE STATUS UNRESOLVED",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000087,Semax + Selank Supplier Blend,PKS,XS20,P1,YES,CERT-PPS-000029,2,2,3,2,1,1,4,43,T4,High Analytical or Evidence Burden,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Develop a bespoke analytical and evidence plan. Keep commercial progression blocked until the high-burden quality, formulation and safety gaps are reduced.",UNAPPROVED SUPPLIER NEUROPEPTIDE COMBINATION / REGIONAL PARENT STATUS DOES NOT TRANSFER,COMBINATION ANALYTICS OPEN
CERT-PKS-000060,Matrixyl Supplier Product Family,PKS,MA10,P0,YES,CERT-PPS-000016,2,2,3,2,1,1,3,41,T4,High Analytical or Evidence Burden,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Develop a bespoke analytical and evidence plan. Keep commercial progression blocked until the high-burden quality, formulation and safety gaps are reduced.",COSMETIC FAMILY NAME / CHEMICAL IDENTITY UNRESOLVED — NO MEDICINAL CLAIM,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000076,Crystagen,PKS,CRY20,P1,YES,CERT-PPS-000049,0,2,2,2,0,0,2,24,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000077,Ovagen,PKS,OV20,P1,YES,CERT-PPS-000050,0,2,2,2,0,0,2,24,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,MPS,SLU5,P0,YES,CERT-PPS-000006,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",POSSIBLE TYPO / CHEMICAL IDENTITY UNRESOLVED / NO PHARMACOLOGY OR HUMAN-USE CLAIM,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000008,Acetic Acid Water Supplier Family,MPS,AA10,P0,YES,CERT-PPS-000008,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.","CONCENTRATION, PH AND STERILE-DILUENT IDENTITY UNRESOLVED",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000009,Botulinum Toxin Supplier Product Family,MPS,XT100,P0,YES,CERT-PPS-000009,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.","SEROTYPE, BRAND AND POTENCY SYSTEM UNRESOLVED / UNBRANDED PRODUCT NOT AUTHORISED-PRODUCT EQUIVALENT",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,MPS,LB10; LB10 (supplemental); NO CODE PRINTED; 柠檬瓶,P0,YES,CERT-PPS-000012,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",UNAPPROVED INJECTABLE LIPOLYSIS MIXTURE / COMPOSITION AND PRICE DISCREPANCIES ACTIVE,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000042,Adamax Supplier Product Family,PKS,AD5,P1,YES,CERT-PPS-000019,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",IDENTITY UNRESOLVED — NO PHARMACOLOGICAL OR APPROVAL CLAIM PERMITTED,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,PKS,C60,P0,YES,CERT-PPS-000015,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",CRITICAL IDENTITY AND MANUFACTURING GAP — NO MEDICINAL EQUIVALENCE CLAIM,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,PKS,P210,P1,YES,CERT-PPS-000022,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",IDENTITY UNRESOLVED — NO P021 EQUIVALENCE OR PHARMACOLOGY CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000090,Generic GLP-1 Supplier Product Family,PKS,GP,P1,YES,CERT-PPS-000032,0,1,2,2,0,0,2,20,Q,Identity / Composition Quarantine,Identity; Supplier Evidence; Analytical Feasibility,YES,BLOCKED,NO,"Maintain identity/composition quarantine. Obtain direct manufacturer identity, reference-standard and independent analytical evidence before any pharmacological or commercial progression.",MOLECULAR FORM UNRESOLVED / NO APPROVAL OR ANALOGUE EQUIVALENCE,CRITICAL MOLECULAR IDENTITY
