Final UAI,Asset Name,System,Created / Finalised In Build,Source Catalogue Codes,Current Status,Regulatory Headline,Closure Priority,Closure Class,Next Closure Action,Platinum Certified
CERT-PKS-000062,PTD-DBM,PKS,0024B,PTD5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL PRECLINICAL WNT-PATHWAY PEPTIDE — NO HAIR-LOSS OR WOUND-TREATMENT APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000063,Humanin Supplier Product Family,PKS,0025A,HU10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,PRECLINICAL-DOMINANT / PRODUCT IDENTITY UNDER-SPECIFIED / NO APPROVAL CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000064,FOXO4-DRI Supplier Product Family,PKS,0025A,F410,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL PRECLINICAL SENOLYTIC / NO HUMAN ANTI-AGEING OR APPROVAL CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000065,N-Acetyl Epitalon Amidate,PKS,0025A,NET5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,MODIFIED EPITALON ANALOGUE / UNAPPROVED / PARENT-EVIDENCE TRANSFER PROHIBITED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000066,Vilon Supplier Product Family,PKS,0025A,VI20,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,SHORT REGULATORY PEPTIDE / IDENTITY AND REGIONAL-STATUS VERIFICATION REQUIRED,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000067,Testagen Supplier Product Family,PKS,0025A,TG20,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,"IDENTITY UNRESOLVED / NO ENDOCRINE, FERTILITY OR ANTI-AGEING CLAIM PERMITTED",P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-PKS-000068,Bronchogen,PKS,0025B,BR20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000069,Cardiogen,PKS,0025B,CA20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000070,Cortagen,PKS,0025B,COR20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000071,Livagen,PKS,0025B,LI20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000072,Pancragen,PKS,0025B,PA20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000073,Prostamax,PKS,0025B,MAX20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000074,Cartalax,PKS,0025B,LAX20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000075,Chonluten,PKS,0025B,CH20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000076,Crystagen,PKS,0025B,CRY20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000077,Ovagen,PKS,0025B,OV20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000078,Vesugen,PKS,0025B,VE20,CATALOGUE REVIEWED / IDENTITY GAP OPEN / NOT PLATINUM CERTIFIED,IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000079,Afamelanotide / Melanotan I,PKS,0026,MT1,CATALOGUE REVIEWED / AUTHORISED-PRODUCT BOUNDARY ACTIVE / NOT PLATINUM CERTIFIED,AUTHORISED SCENESSE IMPLANT CONTEXTS EXIST FOR EPP — CATALOGUE POWDER IS NOT AN AUTHORISED-PRODUCT EQUIVALENT,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000080,Bremelanotide / PT-141,PKS,0026,P41,CATALOGUE REVIEWED / AUTHORISED-PRODUCT BOUNDARY ACTIVE / NOT PLATINUM CERTIFIED,UNITED STATES AUTHORISED VYLEESI CONTEXT EXISTS FOR DEFINED PREMENOPAUSAL HSDD — CATALOGUE POWDER IS NOT AN AUTHORISED-PRODUCT EQUIVALENT,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,PKS,0027,BB10; BB20; BB4,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,UNAPPROVED SUPPLIER COMBINATION / COMPONENT AND CO-FORMULATION EVIDENCE INSUFFICIENT,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,PKS,0027,BBG70,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,UNAPPROVED THREE-COMPONENT SUPPLIER BLEND / NO MEDICINAL EQUIVALENCE,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,PKS,0027,KL80,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,UNAPPROVED FOUR-COMPONENT SUPPLIER BLEND / NO CLINICAL OR PRODUCT EQUIVALENCE,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,PKS,0027,CS10,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,CLINICAL-DEVELOPMENT COMBINATION CONTEXT EXISTS / CATALOGUE VIAL HAS NO AUTHORISED-PRODUCT EQUIVALENCE,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,PKS,0027,RC10,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,UNAPPROVED SUPPLIER METABOLIC COMBINATION / PRODUCT-SPECIFIC HUMAN EVIDENCE NOT CLOSED,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,PKS,0027,TI18,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,UNAPPROVED SUPPLIER GH-AXIS COMBINATION / TESAMORELIN MEDICINE STATUS DOES NOT TRANSFER,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
CERT-PKS-000087,Semax + Selank Supplier Blend,PKS,0027,XS20,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,UNAPPROVED SUPPLIER NEUROPEPTIDE COMBINATION / REGIONAL PARENT STATUS DOES NOT TRANSFER,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,PKS,0027,CP10; CP20,CATALOGUE REVIEWED / COMBINATION EVIDENCE GAP ACTIVE / NOT PLATINUM CERTIFIED,UNAPPROVED SUPPLIER GH-AXIS COMBINATION / CJC-1295 WITH DAC EVIDENCE DOES NOT TRANSFER,P1,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",NO
