Source Row,Source Code,Listed Name,Preliminary Canonical Name,Specification,Price USD / Kit,Review Segment,Final UAI,Final Asset Name,Final Build,Final Catalogue Code,Disposition,Price Check,Mapping Note
110,RT5,Retatrutide,Retatrutide,5 mg x 10 vials,50,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT5,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
111,RT10,Retatrutide,Retatrutide,10 mg x 10 vials,78,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
112,RT15,Retatrutide,Retatrutide,15 mg x 10 vials,107,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT15,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
113,RT20,Retatrutide,Retatrutide,20 mg x 10 vials,140,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT20,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
114,RT30,Retatrutide,Retatrutide,30 mg x 10 vials,195,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT30,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
115,RT40,Retatrutide,Retatrutide,40 mg x 10 vials,240,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT40,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
116,RT50,Retatrutide,Retatrutide,50 mg x 10 vials,295,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT50,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
117,RT60,Retatrutide,Retatrutide,60 mg x 10 vials,330,Existing assets,CERT-PKS-000001,Retatrutide,PRE-0020,RT60,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
118,MT10,melatonin,Melatonin,10 mg x 10 vials,56,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000002,Melatonin Supplier Vial Family,0028A,MT10,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
119,FR2,HGH Fragment 176-191,HGH fragment 176-191,2 mg x 10 vials,53,C2 - Metabolic and incretin-related,CERT-PKS-000019,HGH Fragment 176-191,0021,FR2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
120,FR5,HGH Fragment 176-191,HGH fragment 176-191,5 mg x 10 vials,99,C2 - Metabolic and incretin-related,CERT-PKS-000019,HGH Fragment 176-191,0021,FR5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
121,FR10,HGH Fragment 176-191,HGH fragment 176-191,10 mg x 10 vials,183,C2 - Metabolic and incretin-related,CERT-PKS-000019,HGH Fragment 176-191,0021,FR10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
122,DR5,dermorphin,Dermorphin,5 mg x 10 vials,36,C4 - Neurocognitive and sleep peptides,CERT-PKS-000046,Dermorphin,0023B,DR5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
123,GP,"GLP-1, 5mg/vial",Native GLP-1 identity candidate,5 mg x 10 vials,103,C2 - Metabolic and incretin-related,,,,,UNMAPPED - COVERAGE GAP,NOT APPLICABLE,Requires corrective asset build
124,GTT,Glutathione,Glutathione,"1,500 mg x 10 vials",108,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000003,Glutathione Supplier Vial Family,0028A,GTT,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
125,ISU,Insulin,Insulin,3 mL x 10 vials,239,"C3 - GH, IGF and endocrine",CERT-PKS-000036,Insulin Supplier Product Family,0022C,ISU,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
126,WA10,bac.water,Bacteriostatic water,10 mL x 10 vials,12,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0028B,WA10,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
127,AA10,Acetic acid water,Acetic acid water,10 mL x 10 vials,12,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000008,Acetic Acid Water Supplier Family,0028B,AA10,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
128,BA10,bac.water,Bacteriostatic water,10 mL x 10 vials,12,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0028B,BA10,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
129,BA05,bac.water,Bacteriostatic water,5 mL x 10 vials,11,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0028B,BA05,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
130,BA03,bac.water,Bacteriostatic water,3 mL x 10 vials,8,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0028B,BA03,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
131,XT100,Botulinum toxin,Botulinum toxin,100 IU x 10 vials,165,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,0028B,XT100,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
132,5AM,5-amino-1mq,5-amino-1MQ,5 mg x 10 vials,32,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,0028A,5AM,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
133,10AM,5-amino-1mq,5-amino-1MQ,10 mg x 10 vials,42,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,0028A,10AM,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
134,50AM,5-amino-1mq,5-amino-1MQ,50 mg x 10 vials,65,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,0028A,50AM,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
135,G75,HMG,Human menopausal gonadotropin,75 IU x 10 vials,68,"C3 - GH, IGF and endocrine",CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,0022C,G75,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
136,E3K,EPO,Erythropoietin,"3,000 IU x 5 vials",122,"C3 - GH, IGF and endocrine",CERT-PKS-000037,Erythropoietin Supplier Product Family,0022C,E3K,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
137,CBL60,cerebrolysin,Cerebrolysin,60 mg x 6 vials,49,C4 - Neurocognitive and sleep peptides,CERT-PKS-000044,Cerebrolysin Product Family,0023B,CBL60,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
138,C60,cerebrolysin (No Brand),Cerebrolysin-type unbranded product,60 mg x 10 vials,43,C4 - Neurocognitive and sleep peptides,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,0023B,C60,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
139,HA5,hyaluronic acid,Hyaluronic acid,5 mg x 10 vials,198,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,0028B,HA5,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
140,CGL5,cagrilintide,Cagrilintide,5 mg x 10 vials,92,C2 - Metabolic and incretin-related,CERT-PKS-000013,Cagrilintide,0021,CGL5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
141,CGL10,cagrilintide,Cagrilintide,10 mg x 10 vials,170,C2 - Metabolic and incretin-related,CERT-PKS-000013,Cagrilintide,0021,CGL10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
142,CGL20,cagrilintide,Cagrilintide,20 mg x 10 vials,295,C2 - Metabolic and incretin-related,CERT-PKS-000013,Cagrilintide,0021,CGL20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
143,RA10,Ara-290,Cibinetide,10 mg x 10 vials,76,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000054,Cibinetide / ARA-290,0024A,RA10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
144,NP810,snap-8,Acetyl octapeptide-3,10 mg x 10 vials,42,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000059,Acetyl Octapeptide-3 / SNAP-8,0024B,NP810,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
145,MDT5,Mazdutide,Mazdutide,5 mg x 10 vials,93,C2 - Metabolic and incretin-related,CERT-PKS-000014,Mazdutide,0021,MDT5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
146,MDT10,Mazdutide,Mazdutide,10 mg x 10 vials,185,C2 - Metabolic and incretin-related,CERT-PKS-000014,Mazdutide,0021,MDT10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
147,NJ3100,NAD,NAD identity candidate,100 mg x 10 vials,37,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000005,NAD Supplier Product Family,0028A,NJ3100,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
148,NJ250,NAD,NAD identity candidate,250 mg x 10 vials,56,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000005,NAD Supplier Product Family,0028A,NJ250,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
149,NJ500,NAD,NAD identity candidate,500 mg x 10 vials,78,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000005,NAD Supplier Product Family,0028A,NJ500,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
150,NJ1000,NAD,NAD identity candidate,"1,000 mg x 10 vials",126,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000005,NAD Supplier Product Family,0028A,NJ1000,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
151,PRO20,Alprostadil,Alprostadil,20 mcg x 10 vials,132,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000011,Alprostadil Supplier Vial Family,0028B,PRO20,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
152,BBG70,BPC 157 10mg + GHK-CU 50mg + TB500 10mg,BPC-157 + GHK-Cu + TB-500 blend,70 mg x 10 vials,219,C8 - Blends and supplier combinations,CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,0027,BBG70,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
153,KL80,BPC 157 10mg + GHK-CU 50mg + TB500 10mg + KPV 10mg,BPC-157 + GHK-Cu + TB-500 + KPV blend,80 mg x 10 vials,252,C8 - Blends and supplier combinations,CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,0027,KL80,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
154,SUR10,Survodutide,Survodutide,10 mg x 10 vials,271,C2 - Metabolic and incretin-related,CERT-PKS-000015,Survodutide,0021,SUR10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
155,CS10,Cagrilintide 5mg + Semaglutide 5mg,Cagrilintide + Semaglutide blend,10 mg x 10 vials,135,C8 - Blends and supplier combinations,CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,0027,CS10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
156,RC10,Retatrutide 5mg + Cagrilintide 5mg,Retatrutide + Cagrilintide blend,10 mg x 10 vials,165,C8 - Blends and supplier combinations,CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,0027,RC10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
157,VP5,VIP,Vasoactive intestinal peptide,5 mg x 10 vials,95,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,0024A,VP5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
158,VP10,VIP,Vasoactive intestinal peptide,10 mg x 10 vials,160,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,0024A,VP10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
159,KP5,KPV,KPV,5 mg x 10 vials,39,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000056,KPV,0024A,KP5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
160,KP10,KPV,KPV,10 mg x 10 vials,59,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000056,KPV,0024A,KP10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
161,AD5,Adamax,Adamax identity candidate,5 mg x 10 vials,172,C4 - Neurocognitive and sleep peptides,CERT-PKS-000042,Adamax Supplier Product Family,0023A,AD5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
162,PE10,PE 22-28,PE 22-28,10 mg x 10 vials,71,C4 - Neurocognitive and sleep peptides,CERT-PKS-000043,PE 22-28 Supplier Product Family,0023A,PE10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
163,TG20,Testagen,Testagen,20 mg x 10 vials,126,C6 - Mitochondrial and longevity research,CERT-PKS-000067,Testagen Supplier Product Family,0025A,TG20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
164,NET5,N-Acetyl Epitalon Amidate,N-acetyl Epitalon amidate,5 mg x 10 vials,51,C6 - Mitochondrial and longevity research,CERT-PKS-000065,N-Acetyl Epitalon Amidate,0025A,NET5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
165,PIN5,Pinealon,Pinealon,5 mg x 10 vials,42,C4 - Neurocognitive and sleep peptides,CERT-PKS-000041,Pinealon,0023A,PIN5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
166,PIN10,Pinealon,Pinealon,10 mg x 10 vials,64,C4 - Neurocognitive and sleep peptides,CERT-PKS-000041,Pinealon,0023A,PIN10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
167,PIN20,Pinealon,Pinealon,20 mg x 10 vials,103,C4 - Neurocognitive and sleep peptides,CERT-PKS-000041,Pinealon,0023A,PIN20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
168,柠檬瓶,Lemon Bottle,Lemon Bottle,10 mL x 10 vials,103,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,0028B,NO CODE PRINTED,COVERED - SOURCE CODE NORMALISED,PASS,Source code normalised to the no-code Lemon Bottle summary listing
169,VI20,VILON,Vilon,20 mg x 10 vials,119,C6 - Mitochondrial and longevity research,CERT-PKS-000066,Vilon Supplier Product Family,0025A,VI20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
170,PN5,PNC27,PNC-27,5 mg x 10 vials,99,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000061,PNC-27,0024B,PN5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
171,PN10,PNC27,PNC-27,10 mg x 10 vials,169,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000061,PNC-27,0024B,PN10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
172,P210,P21 without adamantane,P21 without adamantane identity candidate,10 mg x 10 vials,80,C4 - Neurocognitive and sleep peptides,CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,0023B,P210,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
173,PP10,P21 adamantane,P21 adamantane conjugate identity candidate,10 mg x 10 vials,310,C4 - Neurocognitive and sleep peptides,CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,0023B,PP10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
174,SLU5,slu-pp-322,SLU-PP-322 identity candidate,5 mg x 10 vials,121,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,0028A,SLU5,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
175,HU10,Humanin,Humanin,10 mg x 10 vials,210,C6 - Mitochondrial and longevity research,CERT-PKS-000063,Humanin Supplier Product Family,0025A,HU10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
176,TER10,Teriparatide,Teriparatide,10 mg x 10 vials,210,"C3 - GH, IGF and endocrine",CERT-PKS-000035,Teriparatide,0022C,TER10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
177,BR20,Bronchogen,Bronchogen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000068,Bronchogen,0025B,BR20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
178,CA20,Cardiogen,Cardiogen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000069,Cardiogen,0025B,CA20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
179,COR20,Cortagen,Cortagen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000070,Cortagen,0025B,COR20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
180,LI20,Livagen,Livagen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000071,Livagen,0025B,LI20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
181,PA20,Pancragen,Pancragen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000072,Pancragen,0025B,PA20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
182,MAX20,Prostamax,Prostamax,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000073,Prostamax,0025B,MAX20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
183,LAX20,Cartalax,Cartalax,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000074,Cartalax,0025B,LAX20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
184,CH20,Chonluten,Chonluten,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000075,Chonluten,0025B,CH20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
185,CRY20,Crystagen,Crystagen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000076,Crystagen,0025B,CRY20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
186,OV20,Ovagen,Ovagen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000077,Ovagen,0025B,OV20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
187,VE20,Vesugen,Vesugen,20 mg x 10 vials,118,C6 - Mitochondrial and longevity research,CERT-PKS-000078,Vesugen,0025B,VE20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
188,TI18,Tesamorelin 12mg + Ipamorelin 6mg,Tesamorelin + Ipamorelin blend,18 mg x 10 vials,280,C8 - Blends and supplier combinations,CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,0027,TI18,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
189,XS20,Semax 10mg + Selank 10mg,Semax + Selank blend,20 mg x 10 vials,112,C8 - Blends and supplier combinations,CERT-PKS-000087,Semax + Selank Supplier Blend,0027,XS20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
190,NXA30,NA Semax amidate,N-acetyl Semax amidate,30 mg x 10 vials,155,C4 - Neurocognitive and sleep peptides,CERT-PKS-000049,N-Acetyl Semax Amidate,0023B,NXA30,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
191,NSK30,NA Selank amidate,N-acetyl Selank amidate,30 mg x 10 vials,155,C4 - Neurocognitive and sleep peptides,CERT-PKS-000050,N-Acetyl Selank Amidate,0023B,NSK30,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
192,MA10,Matrixyl,Matrixyl identity candidate,10 mg x 10 vials,35,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000060,Matrixyl Supplier Product Family,0024B,MA10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
193,PTD5,PTD-DBM,PTD-DBM,5 mg x 10 vials,265,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000062,PTD-DBM,0024B,PTD5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
194,LL5,Liraglutide,Liraglutide,5 mg x 10 vials,85,C2 - Metabolic and incretin-related,CERT-PKS-000016,Liraglutide,0021,LL5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
195,LL10,Liraglutide,Liraglutide,10 mg x 10 vials,135,C2 - Metabolic and incretin-related,CERT-PKS-000016,Liraglutide,0021,LL10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
196,LL30,Liraglutide,Liraglutide,30 mg x 10 vials,251,C2 - Metabolic and incretin-related,CERT-PKS-000016,Liraglutide,0021,LL30,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
