Source Scope,Catalogue Code,Listed Name,Preliminary Canonical Name,Specification,Price USD / Kit,Preliminary Classification,Review Segment,Identity Status,Existing UAI,Review Priority,Notes
Peptides.pdf pages 1-5,FR10,HGH Fragment 176-191,HGH fragment 176-191,10 mg x 10 vials,183,Growth-hormone fragment peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,DR5,dermorphin,Dermorphin,5 mg x 10 vials,36,Opioid peptide,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,GP,"GLP-1, 5mg/vial",Native GLP-1 identity candidate,5 mg x 10 vials,103,Peptide hormone / identity unspecified,C2 - Metabolic and incretin-related,EXACT SEQUENCE / FORM VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,GTT,Glutathione,Glutathione,"1,500 mg x 10 vials",108,Tripeptide antioxidant,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,ISU,Insulin,Insulin,3 mL x 10 vials,239,Protein hormone / biologic,"C3 - GH, IGF and endocrine",TYPE / CONCENTRATION / FORMULATION VERIFICATION REQUIRED,,CRITICAL,
Peptides.pdf pages 1-5,WA10,bac.water,Bacteriostatic water,10 mL x 10 vials,12,Ancillary diluent,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,AA10,Acetic acid water,Acetic acid water,10 mL x 10 vials,12,Ancillary diluent,C9 - Non-peptide and ancillary catalogue items,CONCENTRATION / STERILITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,BA10,bac.water,Bacteriostatic water,10 mL x 10 vials,12,Ancillary diluent,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,Duplicate product family also listed as WA10.
Peptides.pdf pages 1-5,BA05,bac.water,Bacteriostatic water,5 mL x 10 vials,11,Ancillary diluent,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,Duplicate product family also listed as WA10.
Peptides.pdf pages 1-5,BA03,bac.water,Bacteriostatic water,3 mL x 10 vials,8,Ancillary diluent,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,Duplicate product family also listed as WA10.
Peptides.pdf pages 1-5,XT100,Botulinum toxin,Botulinum toxin,100 IU x 10 vials,165,Protein neurotoxin / biologic,C9 - Non-peptide and ancillary catalogue items,TOXIN TYPE / BRAND / POTENCY UNIT VERIFICATION REQUIRED,,CRITICAL,
Peptides.pdf pages 1-5,5AM,5-amino-1mq,5-amino-1MQ,5 mg x 10 vials,32,Non-peptide small molecule,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,10AM,5-amino-1mq,5-amino-1MQ,10 mg x 10 vials,42,Non-peptide small molecule,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,50AM,5-amino-1mq,5-amino-1MQ,50 mg x 10 vials,65,Non-peptide small molecule,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,G75,HMG,Human menopausal gonadotropin,75 IU x 10 vials,68,Glycoprotein hormone / biologic,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,E3K,EPO,Erythropoietin,"3,000 IU x 5 vials",122,Glycoprotein hormone / biologic,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,CBL60,cerebrolysin,Cerebrolysin,60 mg x 6 vials,49,Peptide mixture / biologic extract,C4 - Neurocognitive and sleep peptides,BRAND / COMPOSITION / AUTHORISATION VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,C60,cerebrolysin (No Brand),Cerebrolysin-type unbranded product,60 mg x 10 vials,43,Peptide mixture / unbranded biologic,C4 - Neurocognitive and sleep peptides,HIGH-RISK IDENTITY / COMPOSITION VERIFICATION REQUIRED,,CRITICAL,
Peptides.pdf pages 1-5,HA5,hyaluronic acid,Hyaluronic acid,5 mg x 10 vials,198,Polysaccharide / non-peptide,C9 - Non-peptide and ancillary catalogue items,MOLECULAR WEIGHT / FORMULATION / INTENDED ROUTE VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,CGL5,cagrilintide,Cagrilintide,5 mg x 10 vials,92,Long-acting amylin analogue peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,CGL10,cagrilintide,Cagrilintide,10 mg x 10 vials,170,Long-acting amylin analogue peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,CGL20,cagrilintide,Cagrilintide,20 mg x 10 vials,295,Long-acting amylin analogue peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,RA10,Ara-290,Cibinetide,10 mg x 10 vials,76,Erythropoietin-derived peptide,"C5 - Repair, immune and cosmetic peptides",ARA-290 / CIBINETIDE IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,NP810,snap-8,Acetyl octapeptide-3,10 mg x 10 vials,42,Cosmetic peptide,"C5 - Repair, immune and cosmetic peptides",SNAP-8 / ACETYL OCTAPEPTIDE-3 IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,MDT5,Mazdutide,Mazdutide,5 mg x 10 vials,93,Dual GLP-1/glucagon receptor agonist peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,MDT10,Mazdutide,Mazdutide,10 mg x 10 vials,185,Dual GLP-1/glucagon receptor agonist peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,NJ3100,NAD,NAD identity candidate,100 mg x 10 vials,37,Coenzyme / non-peptide,C9 - Non-peptide and ancillary catalogue items,NAD+ / NADH / SALT FORM VERIFICATION REQUIRED,,MEDIUM,Catalogue code is printed as NJ3100 for the 100 mg entry; user shorthand has previously used NJ100.
Peptides.pdf pages 1-5,NJ250,NAD,NAD identity candidate,250 mg x 10 vials,56,Coenzyme / non-peptide,C9 - Non-peptide and ancillary catalogue items,NAD+ / NADH / SALT FORM VERIFICATION REQUIRED,,MEDIUM,Catalogue code is printed as NJ3100 for the 100 mg entry; user shorthand has previously used NJ100.
Peptides.pdf pages 1-5,NJ500,NAD,NAD identity candidate,500 mg x 10 vials,78,Coenzyme / non-peptide,C9 - Non-peptide and ancillary catalogue items,NAD+ / NADH / SALT FORM VERIFICATION REQUIRED,,MEDIUM,Catalogue code is printed as NJ3100 for the 100 mg entry; user shorthand has previously used NJ100.
Peptides.pdf pages 1-5,NJ1000,NAD,NAD identity candidate,"1,000 mg x 10 vials",126,Coenzyme / non-peptide,C9 - Non-peptide and ancillary catalogue items,NAD+ / NADH / SALT FORM VERIFICATION REQUIRED,,MEDIUM,Catalogue code is printed as NJ3100 for the 100 mg entry; user shorthand has previously used NJ100.
Peptides.pdf pages 1-5,PRO20,Alprostadil,Alprostadil,20 mcg x 10 vials,132,Prostaglandin / non-peptide drug,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,BBG70,BPC 157 10mg + GHK-CU 50mg + TB500 10mg,BPC-157 + GHK-Cu + TB-500 blend,70 mg x 10 vials,219,Peptide blend,C8 - Blends and supplier combinations,BLEND / COMPONENT IDENTITY VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,KL80,BPC 157 10mg + GHK-CU 50mg + TB500 10mg + KPV 10mg,BPC-157 + GHK-Cu + TB-500 + KPV blend,80 mg x 10 vials,252,Peptide blend,C8 - Blends and supplier combinations,BLEND / COMPONENT IDENTITY VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,SUR10,Survodutide,Survodutide,10 mg x 10 vials,271,Dual GLP-1/glucagon receptor agonist peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,CS10,Cagrilintide 5mg + Semaglutide 5mg,Cagrilintide + Semaglutide blend,10 mg x 10 vials,135,Peptide drug blend,C8 - Blends and supplier combinations,BLEND / RATIO / FORMULATION VERIFICATION REQUIRED,,CRITICAL,
Peptides.pdf pages 1-5,RC10,Retatrutide 5mg + Cagrilintide 5mg,Retatrutide + Cagrilintide blend,10 mg x 10 vials,165,Investigational peptide blend,C8 - Blends and supplier combinations,BLEND / UNVALIDATED COMBINATION,,CRITICAL,
Peptides.pdf pages 1-5,VP5,VIP,Vasoactive intestinal peptide,5 mg x 10 vials,95,Neuropeptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,VP10,VIP,Vasoactive intestinal peptide,10 mg x 10 vials,160,Neuropeptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,KP5,KPV,KPV,5 mg x 10 vials,39,Alpha-MSH-derived tripeptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,KP10,KPV,KPV,10 mg x 10 vials,59,Alpha-MSH-derived tripeptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,AD5,Adamax,Adamax identity candidate,5 mg x 10 vials,172,Unresolved research compound / peptide candidate,C4 - Neurocognitive and sleep peptides,IDENTITY VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,PE10,PE 22-28,PE 22-28,10 mg x 10 vials,71,Research neuropeptide,C4 - Neurocognitive and sleep peptides,SEQUENCE / NAMING VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,TG20,Testagen,Testagen,20 mg x 10 vials,126,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,NET5,N-Acetyl Epitalon Amidate,N-acetyl Epitalon amidate,5 mg x 10 vials,51,Modified peptide analogue,C6 - Mitochondrial and longevity research,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,PIN5,Pinealon,Pinealon,5 mg x 10 vials,42,Short regulatory peptide,C4 - Neurocognitive and sleep peptides,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,PIN10,Pinealon,Pinealon,10 mg x 10 vials,64,Short regulatory peptide,C4 - Neurocognitive and sleep peptides,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,PIN20,Pinealon,Pinealon,20 mg x 10 vials,103,Short regulatory peptide,C4 - Neurocognitive and sleep peptides,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,柠檬瓶,Lemon Bottle,Lemon Bottle,10 mL x 10 vials,103,Cosmetic mixture / non-peptide product,C9 - Non-peptide and ancillary catalogue items,MULTI-INGREDIENT FORMULATION / ROUTE VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,VI20,VILON,Vilon,20 mg x 10 vials,119,Short regulatory peptide,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,PN5,PNC27,PNC-27,5 mg x 10 vials,99,Experimental anticancer peptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,PN10,PNC27,PNC-27,10 mg x 10 vials,169,Experimental anticancer peptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,P210,P21 without adamantane,P21 without adamantane identity candidate,10 mg x 10 vials,80,Experimental neuropeptide / conjugate candidate,C4 - Neurocognitive and sleep peptides,SEQUENCE / CHEMICAL IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,PP10,P21 adamantane,P21 adamantane conjugate identity candidate,10 mg x 10 vials,310,Experimental neuropeptide conjugate,C4 - Neurocognitive and sleep peptides,SEQUENCE / ADAMANTANE CONJUGATION VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,SLU5,slu-pp-322,SLU-PP-322 identity candidate,5 mg x 10 vials,121,Likely non-peptide research compound,C9 - Non-peptide and ancillary catalogue items,POSSIBLE TYPO / IDENTITY VERIFICATION REQUIRED,,HIGH,Do not silently correct to another SLU-PP compound without authoritative identity evidence.
Peptides.pdf pages 1-5,HU10,Humanin,Humanin,10 mg x 10 vials,210,Mitochondrial-derived peptide,C6 - Mitochondrial and longevity research,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,TER10,Teriparatide,Teriparatide,10 mg x 10 vials,210,Parathyroid hormone fragment peptide drug,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,BR20,Bronchogen,Bronchogen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,CA20,Cardiogen,Cardiogen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,COR20,Cortagen,Cortagen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,LI20,Livagen,Livagen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,PA20,Pancragen,Pancragen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,MAX20,Prostamax,Prostamax,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,LAX20,Cartalax,Cartalax,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,CH20,Chonluten,Chonluten,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,CRY20,Crystagen,Crystagen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,OV20,Ovagen,Ovagen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,VE20,Vesugen,Vesugen,20 mg x 10 vials,118,Short regulatory peptide candidate,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,TI18,Tesamorelin 12mg + Ipamorelin 6mg,Tesamorelin + Ipamorelin blend,18 mg x 10 vials,280,Peptide blend,C8 - Blends and supplier combinations,BLEND / RATIO / FORMULATION VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,XS20,Semax 10mg + Selank 10mg,Semax + Selank blend,20 mg x 10 vials,112,Peptide blend,C8 - Blends and supplier combinations,BLEND / FORMULATION VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,NXA30,NA Semax amidate,N-acetyl Semax amidate,30 mg x 10 vials,155,Modified research peptide,C4 - Neurocognitive and sleep peptides,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,NSK30,NA Selank amidate,N-acetyl Selank amidate,30 mg x 10 vials,155,Modified research peptide,C4 - Neurocognitive and sleep peptides,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,MA10,Matrixyl,Matrixyl identity candidate,10 mg x 10 vials,35,Cosmetic peptide / branded identity,"C5 - Repair, immune and cosmetic peptides",EXACT MATRIXYL PEPTIDE / BRAND IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,PTD5,PTD-DBM,PTD-DBM,5 mg x 10 vials,265,Experimental peptide,"C5 - Repair, immune and cosmetic peptides",SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,LL5,Liraglutide,Liraglutide,5 mg x 10 vials,85,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,LL10,Liraglutide,Liraglutide,10 mg x 10 vials,135,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,LL30,Liraglutide,Liraglutide,30 mg x 10 vials,251,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
